Timestamp,Age,Sex,Marital_Status,Region,Education_Level,Income,Role,Experience_Years,Knw_AI_Definition,Knw_AI_Learning,Knw_AI_Assist,Knw_AI_Diagnosis,Knw_AI_Treatment,Knw_AI_Usage,Knw_AI_Limitations,Knw_AI_Ethics,Att_Solve_Problems,Att_Accessibility,Att_Workload,Att_Replace_Doctors,Att_Benefits_Risks,Att_Learn_AI,Att_Regulation,Att_Research_Need,Prac_Use_Validated,Prac_Confidence,Prac_Verify_Output,Prac_Trust_Recommend,Prac_Keep_Updated
2024-04-02 10:43:41,25,Male,Single,South West Ethiopia,Bachelor,200,Other,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Never,Never,Never,Always,Always
2024-04-02 10:48:09,28,Male,Single,Central Ethiopia,Masters/Postgrad,12579,Nurse/Midwife,6,FALSE,FALSE,TRUE,Not Sure,FALSE,TRUE,TRUE,TRUE,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,Always,Never,Always,Never,Never
2024-04-02 10:48:15,23,Female,Single,Addis Ababa,Bachelor,0,Lab/Biomedical,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-04-02 10:50:01,29,Male,Married,Somali,Bachelor,40000,Lab/Biomedical,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Disagree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Never,Never,Never,Never,Never
2024-04-02 10:51:47,32,Male,Single,Central Ethiopia,Bachelor,200,Public Health,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Never,Always,Never,Never,Always
2024-04-02 10:52:42,31,Male,Married,Oromia,Masters/Postgrad,240,Nurse/Midwife,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Never,Always,Always,Always
2024-04-02 10:58:24,35,Male,Married,Other/Invalid,Masters/Postgrad,1200,Public Health,14,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Never,Never,Never,Never,Always
2024-04-02 10:59:44,29,Male,Single,Oromia,Bachelor,113,Public Health,4,TRUE,Not Sure,TRUE,TRUE,TRUE,TRUE,FALSE,Not Sure,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Never,Always,Never,Always,Always
2024-04-02 11:00:15,24,Female,Single,Addis Ababa,Bachelor,50,Nurse/Midwife,1,Not Sure,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree,Always,Always,Always,Always,Always
2024-04-02 11:00:15,26,Female,Single,Addis Ababa,Bachelor,0,Medical Doctor,1,TRUE,TRUE,TRUE,TRUE,TRUE,Not Sure,TRUE,TRUE,Agree,Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Always,Always,Never,Always,Never
2024-04-02 11:01:59,25,Male,Single,Afar,Bachelor,8000,Public Health,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Not Sure,TRUE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-04-02 11:03:37,33,Male,Married,Oromia,Masters/Postgrad,9056,Public Health,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Never,Always,Never,Never,Always
2024-04-02 11:05:01,26,Female,Single,Other/Invalid,Bachelor,0,Medical Doctor,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Neutral,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Never,Never,Never,Never,Never
2024-04-02 11:07:25,26,Female,Single,Amhara,Masters/Postgrad,9000,Academic/Lecturer,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Disagree,Neutral,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Never,Always,Always,Always,Never
2024-04-02 11:10:21,25,Male,Single,Addis Ababa,Bachelor,6000,Nurse/Midwife,2,TRUE,TRUE,TRUE,Not Sure,FALSE,TRUE,TRUE,TRUE,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Always,Always,Always,Always,Always
2024-04-02 11:10:36,29,Male,Single,Afar,Bachelor,6193,Nurse/Midwife,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Disagree,Strongly Agree,Disagree,Neutral,Agree,Agree,Agree,Always,Always,Always,Always,Always
2024-04-02 11:12:45,23,Female,Single,Addis Ababa,Bachelor,8100,Nurse/Midwife,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Not Sure,TRUE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-04-02 11:14:57,37,Male,Married,Sidama,Masters/Postgrad,20000,Medical Doctor,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Never,Always
2024-04-02 11:17:16,25,Male,Single,Amhara,Bachelor,6193,Lab/Biomedical,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Always,Never,Always,Never,Always
2024-04-02 11:20:08,32,Male,Single,Oromia,Masters/Postgrad,15000,Public Health,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-04-02 11:20:59,24,Female,Married,South West Ethiopia,Bachelor,5200,Nurse/Midwife,2,TRUE,TRUE,TRUE,Not Sure,Not Sure,Not Sure,TRUE,TRUE,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Never,Never,Never,Always,Always
2024-04-02 11:20:59,32,Male,Married,South Ethiopia,PhD,1100,Other,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Never,Never,Never,Never,Never
2024-04-02 11:24:00,31,Male,Married,Oromia,Masters/Postgrad,8017,Public Health,6,TRUE,Not Sure,FALSE,Not Sure,TRUE,Not Sure,TRUE,TRUE,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Never,Never,Always,Always,Always
2024-04-02 11:30:34,31,Male,Married,Amhara,Masters/Postgrad,150,Public Health,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Not Sure,TRUE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-04-02 11:36:07,25,Male,Married,Addis Ababa,Bachelor,110,Nurse/Midwife,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Never,Never,Never,Never,Never
2024-04-02 11:36:08,35,Male,Single,Amhara,Masters/Postgrad,8017,Public Health,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Neutral,Never,Never,Never,Never,Never
2024-04-02 11:37:25,25,Male,Single,Oromia,Bachelor,0,Nurse/Midwife,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Agree,Disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-04-02 11:40:49,28,Male,Single,Addis Ababa,Bachelor,9000,Medical Doctor,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,Always
2024-04-02 11:44:28,25,Male,Single,Oromia,Bachelor,4776,Lab/Biomedical,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Not Sure,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Never,Never,Never,Never,Never
2024-04-02 11:48:29,32,Male,Married,Oromia,Bachelor,10000,Pharmacist,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Not Sure,Not Sure,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-04-02 11:52:45,29,Male,Married,Addis Ababa,Masters/Postgrad,8056,Public Health,5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-04-02 11:58:24,26,Male,Single,South Ethiopia,Bachelor,500,Other,2,Not Sure,Not Sure,Not Sure,FALSE,Not Sure,Not Sure,TRUE,TRUE,Neutral,Disagree,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Never,Never,Never,Never,Always
2024-04-02 12:03:19,22,Female,Single,Sidama,Bachelor,1500,Nurse/Midwife,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Never,Never,Never,Never,Never
2024-04-02 12:07:04,33,Female,Married,Addis Ababa,Bachelor,260,Medical Doctor,6,Not Sure,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Disagree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Never,Never,Always,Always,Never
2024-04-02 12:10:36,24,Male,Married,Oromia,Bachelor,151,Nurse/Midwife,12,TRUE,TRUE,TRUE,TRUE,TRUE,Not Sure,TRUE,TRUE,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-04-02 12:15:32,26,Female,Married,Central Ethiopia,Masters/Postgrad,84,Nurse/Midwife,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-04-02 12:16:33,24,Male,Single,Addis Ababa,Bachelor,6192,Nurse/Midwife,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-04-02 12:17:26,38,Male,Married,Addis Ababa,Masters/Postgrad,11305,Medical Doctor,13,Not Sure,FALSE,TRUE,Not Sure,Not Sure,Not Sure,Not Sure,FALSE,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Always,Never,Never,Never,Never
2024-04-02 12:20:52,23,Male,Single,Addis Ababa,Bachelor,4000,Nurse/Midwife,1,Not Sure,TRUE,TRUE,Not Sure,TRUE,Not Sure,TRUE,TRUE,Agree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,Never
2024-04-02 13:01:42,42,Female,Married,Oromia,Masters/Postgrad,150,Other,9,Not Sure,TRUE,Not Sure,TRUE,Not Sure,TRUE,FALSE,FALSE,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,Never
2024-04-02 13:10:14,39,Male,Married,Amhara,Masters/Postgrad,8017,Nurse/Midwife,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Never,Always,Always,Always,Always
2024-04-02 13:12:07,25,Male,Single,Addis Ababa,Bachelor,7000,Public Health,1,Not Sure,TRUE,TRUE,TRUE,TRUE,Not Sure,TRUE,TRUE,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Never,Always,Never,Never,Always
2024-04-02 13:12:43,35,Male,Single,Oromia,Masters/Postgrad,500,Public Health,15,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Never,Always,Never,Always
2024-04-02 13:15:06,28,Male,Married,Addis Ababa,Masters/Postgrad,6000,Public Health,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Always,Always
2024-04-02 13:21:28,30,Female,Married,Addis Ababa,Masters/Postgrad,200,Public Health,7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Never,Never,Always,Never,Never
2024-04-02 13:28:10,34,Male,Married,Oromia,Masters/Postgrad,6000,Pharmacist,3,Not Sure,Not Sure,FALSE,Not Sure,Not Sure,Not Sure,Not Sure,FALSE,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Never,Never,Never,Never,Always
